mmsi,trip,trip_len_h,tptrans_ade,tptrans_fde,tptrans_ade_1h_km,tptrans_fde_1h_km,tptrans_ade_2h_km,tptrans_fde_2h_km,tptrans_ade_3h_km,tptrans_fde_3h_km,traisformer_ade,traisformer_fde,traisformer_ade_1h_km,traisformer_fde_1h_km,traisformer_ade_2h_km,traisformer_fde_2h_km,traisformer_ade_3h_km,traisformer_fde_3h_km,kalman_ade,kalman_fde,kalman_ade_1h_km,kalman_fde_1h_km,kalman_ade_2h_km,kalman_fde_2h_km,kalman_ade_3h_km,kalman_fde_3h_km
209531000,0,4.0,0.28667284431304924,0.5218037912554777,0.07338228806549672,0.13790540326704467,0.15286030199506206,0.3181132315741969,0.22781220212459918,0.4383229175860699,0.5617913304560787,0.5552056211990001,0.5777221604891557,0.5712041386142043,0.5697504089836589,0.5573236028683628,0.5642480402328881,0.5495707449237597,0.05868293974072707,0.10402186667689789,0.020187714303277836,0.03570374169500933,0.03421049533817316,0.06066847909695167,0.047420927845010695,0.08646123291432048
209531000,1,1.5,0.7838292168023453,1.541535987515843,0.565024882553348,1.0840108976366212,,,,,2.7032692766567186,4.778302347258744,1.948993879166274,3.8608186428020774,,,,,0.24292648356093427,0.681559858441429,0.12609213295482435,0.35377245461297757,,,,
209531000,2,4.42,12.542951506900339,36.96183308325942,0.5440265212143964,1.3360193382750634,2.5442262092487336,7.794766648486363,6.024600174481578,18.639096387314602,6.162660474087218,16.189277292425682,1.2678397573014446,2.225850481803811,2.3147559339792143,4.638071078296196,3.619071423910408,8.207720596986768,14.939203057912044,36.038558125789585,2.6290150775204943,5.775974350046027,5.831745876559805,12.314826812591429,9.218051073663997,20.41781752906125
209577000,0,0.92,2.4212029055686752,4.504184639426641,,,,,,,21.620472914747825,22.167641213922167,,,,,,,0.07752529891909744,0.2604305480468762,,,,,,
209577000,1,1.92,1.4828053977199616,2.324087987553348,1.048718746679961,1.6361539303527088,,,,,0.709267690039116,1.4836707722584213,0.5866389449867138,1.0331562472861224,,,,,1.5747018024948913,2.387847629722633,1.124929483476476,1.8157265029681602,,,,
209577000,2,4.42,0.5861881056169137,0.5585268999288702,0.67991686545662,0.2724402990258193,0.6178706056675024,0.556828828699686,0.598389491739151,0.5584665040759552,0.8153057159319307,0.8374084370427997,0.7472662086709433,0.8385125563701439,0.7910547424774442,0.8362087574716253,0.8060679620216096,0.8346768245300763,0.29172330775438754,0.46766390718507156,,,,,,
209577000,3,4.42,5.008913282883205,10.536787026539828,2.6161680667040836,4.357643723423381,3.346511627417348,4.559859527510215,3.8615186254872156,5.3598270402769135,0.6928081938642139,1.6943079099389335,0.3180190424895369,0.030329155779138812,0.4043447995896349,0.6558835519773087,0.5122880809890951,0.7704833585868864,7.058724469464923,18.980581589510123,0.34550797331579525,0.756323784765829,1.796544389196417,6.323609716934186,4.388780036011011,12.710881929521102
209577000,4,1.25,7.690226352549656,13.353959801969584,6.85968416681923,12.013037547016422,,,,,7.690226352549656,13.353959801969584,6.85968416681923,12.013037547016422,,,,,,,,,,,,
209577000,6,4.33,0.08350284850515234,0.08463321637085047,0.0789479647126854,0.08655131730249613,0.08197900584015505,0.08505691807180887,0.08298265115776578,0.08155233826083691,0.04998364094613634,0.04668688811447384,0.051477283320223804,0.05081564938488104,0.05075753354080512,0.04990912593338608,0.05051237908622519,0.04820345968102617,0.011482094546365035,0.02118440605834866,0.005131185092552434,0.006227071218774712,0.0064897352742349845,0.010020248915464157,0.008597081930209803,0.012049811285634678
209577000,7,4.42,0.4119379959886064,0.8053481948343476,0.10692915027586411,0.2001066117433585,0.19934206047216071,0.3827032948961902,0.28988404274957236,0.5598516818721022,0.6233414506751049,0.6134518018588906,0.6284199885116019,0.6300814224706943,0.6278541973238618,0.6242781993688228,0.6256833888411176,0.6205851689220423,0.055928635906805246,0.09901931832878437,0.01972733200860375,0.03371602547741404,0.03153748309952128,0.05284229142516238,0.04230109803202957,0.07727882058484312
